width,height,samples,max_depth,focal_length_mm,fstop,focal_distance,aperture_blades,exposure,iso,threads,time_seconds,mrays_per_second
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,9.64,2.6210
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.17,2.4841
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.07,2.5088
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,9.98,2.5329
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.08,2.5074
400,225,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.21,9.2680
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.78,9.0806
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.86,8.8525
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.04,8.3068
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.17,7.9780
600,337,500,500,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,9.75,10.3653
600,337,500,500,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,9.55,10.5811
600,337,500,500,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,9.52,10.6199
600,337,500,500,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,8.87,11.3985
600,337,500,500,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,9.65,10.4760
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,3.06,8.2668
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,2.95,8.5793
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,10.10,2.5032
600,337,125,10,85mm,f/8.0,10 units,6-blade,1/0.017,100,32,9.90,2.5518
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.40,18.1175
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.39,18.2164
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.37,18.4196
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.38,18.2556
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9416
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.48,17.0308
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.47,17.1532
600,337,125,10,85mm,f/20.0,10 units,6-blade,1/0.017,100,32,1.49,16.9414
